idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
1007326,2008-01-01,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.65,80.187,0.943376
1007315,2008-01-01,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.44,57.812,0.72265
1007410,2008-01-01,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.09,11.678,0.819509
1007520,2008-01-02,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.65,80.187,0.943376
1007509,2008-01-02,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.43,57.733,0.721662
1007604,2008-01-02,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.09,11.678,0.819509
1007703,2008-01-03,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.41,57.575,0.719688
1007798,2008-01-03,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.08,11.661,0.818316
1007714,2008-01-03,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.65,80.187,0.943376
1007897,2008-01-04,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.4,57.496,0.7187
1007908,2008-01-04,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.64,80.114,0.942518
1007992,2008-01-04,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.07,11.643,0.817053
1008091,2008-01-05,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.38,57.334,0.716675
1008102,2008-01-05,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.63,80.041,0.941659
1008186,2008-01-05,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.07,11.643,0.817053
1008296,2008-01-06,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.63,80.041,0.941659
1008380,2008-01-06,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.06,11.626,0.81586
1008285,2008-01-06,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.35,57.097,0.713712
1008479,2008-01-07,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.34,57.018,0.712725
1008490,2008-01-07,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.63,80.041,0.941659
1008574,2008-01-07,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.05,11.608,0.814596
1008673,2008-01-08,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.33,56.939,0.711738
1008768,2008-01-08,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.05,11.608,0.814596
1008684,2008-01-08,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.61,79.896,0.939953
1008878,2008-01-09,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.6,79.823,0.939094
1008867,2008-01-09,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.31,56.781,0.709762
1008962,2008-01-09,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.04,11.59,0.813333
1009061,2008-01-10,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1615.29,56.619,0.707738
1009156,2008-01-10,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1791.03,11.573,0.81214
1009072,2008-01-10,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.6,79.823,0.939094
