idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
598171,2002-01-01,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ","Puente Calderón, Jal.                             ",Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,AP                                           ,R. Calderón                   ,Libre,1991 ,1622,2.0,1620.0,100.0,1618.0,80.0,36,1608.68,19.29,0.241125
598176,2002-01-01,REDJL,"La Red, Jal.                                                                                                                                          ","La Red, Jal.                                      ",Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,RI                                           ,R. Calderón                   ,Libre,1968 ,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24,1785.72,4.58,0.321404
598167,2002-01-01,ESLJL,"El Salto, Jal.                                                                                                                                        ","El Salto, Jal.                                    ",Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,AP                                           ,R. El Salto                   ,Libre,1940 ,1814.5,2.0,1812.5,118.54,1810.16,85.0,42,1809.85,81.64,0.960471
598344,2002-01-02,ESLJL,"El Salto, Jal.                                                                                                                                        ","El Salto, Jal.                                    ",Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,AP                                           ,R. El Salto                   ,Libre,1940 ,1814.5,2.0,1812.5,118.54,1810.16,85.0,42,1809.85,81.64,0.960471
598364,2002-01-02,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ","Puente Calderón, Jal.                             ",Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,AP                                           ,R. Calderón                   ,Libre,1991 ,1622,2.0,1620.0,100.0,1618.0,80.0,36,1608.68,19.29,0.241125
598357,2002-01-02,REDJL,"La Red, Jal.                                                                                                                                          ","La Red, Jal.                                      ",Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,RI                                           ,R. Calderón                   ,Libre,1968 ,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24,1785.71,4.57,0.320702
598540,2002-01-03,REDJL,"La Red, Jal.                                                                                                                                          ","La Red, Jal.                                      ",Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,RI                                           ,R. Calderón                   ,Libre,1968 ,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24,1785.7,4.56,0.32
598547,2002-01-03,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ","Puente Calderón, Jal.                             ",Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,AP                                           ,R. Calderón                   ,Libre,1991 ,1622,2.0,1620.0,100.0,1618.0,80.0,36,1608.67,19.25,0.240625
598524,2002-01-03,ESLJL,"El Salto, Jal.                                                                                                                                        ","El Salto, Jal.                                    ",Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,AP                                           ,R. El Salto                   ,Libre,1940 ,1814.5,2.0,1812.5,118.54,1810.16,85.0,42,1809.84,81.57,0.959647
598717,2002-01-04,ESLJL,"El Salto, Jal.                                                                                                                                        ","El Salto, Jal.                                    ",Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,AP                                           ,R. El Salto                   ,Libre,1940 ,1814.5,2.0,1812.5,118.54,1810.16,85.0,42,1809.84,81.57,0.959647
