idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
884017,2006-01-01,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1792.22,13.707,0.961895
883925,2006-01-01,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1617.12,71.904,0.8988
883933,2006-01-01,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.89,81.931,0.963894
884125,2006-01-02,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.88,81.858,0.963035
884209,2006-01-02,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1792.21,13.687,0.960491
884114,2006-01-02,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1617.11,71.812,0.89765
884318,2006-01-03,ESLJL,"El Salto, Jal.                                                                                                                                        ",El Salto                                          ,Jalisco,Valle de Guadalupe                                                                                                                                    ,Lerma-Santiago-Pacífico,21.0372,-102.705,Uso Público Urbano                           ,Río Valle de Guadalupe        ,Libre,1940,1814.5,2.0,1812.5,112.0,1810.16,85.0,42                  ,1809.87,81.785,0.962176
884402,2006-01-03,REDJL,"La Red, Jal.                                                                                                                                          ",La Red                                            ,Jalisco,Acatic                                                                                                                                                ,Lerma-Santiago-Pacífico,20.7189,-102.815,Riego                                        ,Río Calderón                  ,Libre,1968,1796.5,1.80005,1794.7,18.3,1792.5,14.25,24                  ,1792.2,13.668,0.959158
884307,2006-01-03,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1617.1,71.72,0.8965
884500,2006-01-04,EGCJL,"Ing. Elías González Chávez, Jal.                                                                                                                      ",Puente Calderón                                   ,Jalisco,Zapotlanejo                                                                                                                                           ,Lerma-Santiago-Pacífico,20.6814,-102.976,Uso Público Urbano                           ,Río Calderón                  ,Libre,1991,1622,2.0,1620.0,100.0,1618.0,80.0,36                  ,1617.09,71.628,0.89535
